old_x old_y new_lat new_lon id
1526146.59928 7450440.03424 40.7725996 -111.9125450 43.0

1528525.2436 7450433.67372 40.7726119 -111.9039575 40.0

1531301.84383 7450434.95864 40.7726495 -111.8939334 44.0

1533149.18559 7453408.38176 40.7808325 -111.8873105 45.0

1537246.01597 7455917.29357 40.7877662 -111.8725560 47.0

1540657.74895 7455864.03617 40.7876584 -111.8602354 48.0

1539274.06677 7455868.86324 40.7876562 -111.8652320 47.0

1535710.25892 7453284.60759 40.7805228 -111.8780615 46.0

1538337.09217 7453150.55676 40.7801850 -111.8685749 49.0

1533749.88331 7450452.78687 40.7727277 -111.8850957 50.0

1535840.01947 7450469.21988 40.7727972 -111.8775501 51.0

1523760.38764 7448069.98712 40.7660642 -111.9211194 52.0

1526136.85039 7448062.89321 40.7660752 -111.9125406 53.0

1521111.62268 7445704.68639 40.7595378 -111.9306400 54.0

1521468.54575 7443135.73339 40.7524917 -111.9293072 55.0

1522617.77155 7445623.35305 40.7593343 -111.9252021 57.0

1524006.93201 7445747.62129 40.7596934 -111.9201900 58.0

1523287.37137 7443412.52878 40.7532751 -111.9227475 59.0

1523166.11066 7440530.17039 40.7453625 -111.9231359 56.0

1524545.60771 7443409.65964 40.7532835 -111.9182062 60.0

1526126.69651 7445685.43497 40.7595498 -111.9125377 61.0

1526117.50168 7443307.50572 40.7530232 -111.9125313 62.0

1525710.49593 7440632.1468 40.7456751 -111.9139555 63.0

1527294.92584 7440626.80763 40.7456804 -111.9082376 64.0

1528512.73196 7448053.33378 40.7660787 -111.9039638 67.0

1530889.58275 7448044.65425 40.7660840 -111.8953836 68.0

1533267.57062 7448035.42392 40.7660872 -111.8867992 69.0

1535646.42232 7448026.30232 40.7660901 -111.8782117 70.0

1538328.90831 7450456.12239 40.7727898 -111.8685644 71.0

1540876.70833 7450028.93821 40.7716458 -111.8593601 65.0

1538024.84475 7448016.90994 40.7660916 -111.8696258 72.0

1542204.5488 7448000.83666 40.7660939 -111.8545373 73.0

1544104.69785 7450000.23573 40.7716020 -111.8477061 66.0

1523651.745 7437469.70668 40.7369689 -111.9213314 74.0

1528503.53132 7445676.89016 40.7595561 -111.9039583 75.0

1530880.35843 7445668.13914 40.7595613 -111.8953789 76.0

1528493.91788 7443299.13655 40.7530300 -111.9039542 77.0

1530871.04446 7443290.59966 40.7530357 -111.8953746 78.0

1533258.84371 7445659.37203 40.7595657 -111.8867936 79.0

1533250.09257 7443282.22387 40.7530412 -111.8867881 80.0

1535637.37186 7445650.53368 40.7595694 -111.8782081 81.0

1535628.38919 7443274.01596 40.7530466 -111.8782043 82.0

1538015.32317 7445641.5006 40.7595719 -111.8696247 83.0

1540395.59263 7445632.66098 40.7595743 -111.8610329 84.0

1542189.97281 7445629.26981 40.7595847 -111.8545560 85.0

1538005.79869 7443265.49047 40.7530505 -111.8696236 86.0

1540385.3912 7443257.15061 40.7530543 -111.8610351 87.0

1542080.62421 7443338.67384 40.7532967 -111.8549179 88.0

1527256.54131 7434720.17428 40.7294683 -111.9082788 89.0

1528879.28548 7440621.30661 40.7456850 -111.9025199 90.0

1530463.53435 7440616.02032 40.7456900 -111.8968026 91.0

1532049.38576 7440610.6763 40.7456945 -111.8910795 92.0

